Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
711,43.0,51.0,45.22,
712,43.0,52.0,45.28,
713,43.0,54.0,45.04,
714,43.0,51.0,45.3,
715,43.0,50.0,45.42,
716,43.0,52.0,45.38,
717,43.0,53.0,45.58,
718,43.0,51.0,44.72,
719,43.0,54.0,45.54,
720,43.0,52.0,45.06,
721,43.0,50.0,44.84,
722,43.0,52.0,45.4,
723,43.0,52.0,45.1,
724,43.0,53.0,45.12,
725,43.0,52.0,45.04,
726,43.0,50.0,45.2,
727,43.0,54.0,45.02,
728,43.0,52.0,46.12,
729,43.0,55.0,45.6,
730,43.0,50.0,44.86,
731,43.0,54.0,46.04,
732,43.0,52.0,45.6,
733,43.0,52.0,44.96,
734,43.0,53.0,45.0,
735,43.0,52.0,45.5,
736,43.0,50.0,45.64,
737,43.0,51.0,44.94,
738,43.0,51.0,45.64,
739,43.0,51.0,45.22,
740,43.0,50.0,44.62,
741,43.0,51.0,44.94,
742,43.0,50.0,44.6,
743,43.0,52.0,45.12,
744,43.0,51.0,45.16,
745,43.0,55.0,44.68,
746,43.0,51.0,45.28,
747,43.0,52.0,44.86,
748,43.0,50.0,44.96,
749,43.0,51.0,45.04,
750,43.0,54.0,45.5,
751,43.0,50.0,44.92,
752,43.0,51.0,44.56,
753,43.0,50.0,44.66,
754,43.0,51.0,44.92,
755,43.0,55.0,45.08,
756,43.0,50.0,44.78,
757,43.0,51.0,45.0,
758,43.0,53.0,44.82,
759,43.0,51.0,45.5,
760,43.0,50.0,44.54,
761,43.0,51.0,44.82,
762,43.0,50.0,44.84,
763,43.0,51.0,45.12,
764,43.0,53.0,45.1,
765,43.0,50.0,45.1,
766,43.0,51.0,44.74,
767,43.0,51.0,44.46,
768,43.0,52.0,45.6,
769,43.0,50.0,45.2,
770,43.0,53.0,45.08,
771,43.0,51.0,45.08,
772,43.0,50.0,44.54,
773,43.0,52.0,44.76,
774,43.0,52.0,44.9,
775,43.0,53.0,45.34,
776,43.0,49.0,45.06,
777,43.0,51.0,45.22,
778,43.0,50.0,45.2,
779,43.0,48.0,44.68,
780,43.0,53.0,45.26,
781,43.0,50.0,44.82,
782,43.0,52.0,45.08,
783,43.0,50.0,45.22,
784,43.0,50.0,44.88,
785,43.0,51.0,45.16,
786,43.0,48.0,44.68,
787,43.0,52.0,44.98,
788,43.0,50.0,44.54,
789,43.0,52.0,45.32,
790,43.0,53.0,45.14,
791,43.0,51.0,45.06,
792,43.0,49.0,44.6,
793,43.0,51.0,44.88,
794,43.0,51.0,45.28,
795,43.0,55.0,45.36,
796,43.0,53.0,44.86,
797,43.0,53.0,45.1,
798,43.0,53.0,45.3,
799,43.0,51.0,44.56,
800,43.0,53.0,44.88,
801,43.0,53.0,45.48,
802,43.0,51.0,44.7,
803,43.0,51.0,44.76,
804,43.0,53.0,45.28,
805,43.0,51.0,45.46,
806,43.0,53.0,45.06,
807,43.0,50.0,45.2,
808,43.0,57.0,45.18,
809,43.0,50.0,45.24,
810,43.0,52.0,44.7,
811,43.0,50.0,45.0,
812,43.0,49.0,44.76,
813,43.0,51.0,45.02,
814,43.0,54.0,45.18,
815,43.0,51.0,45.42,
816,43.0,54.0,44.78,
817,43.0,54.0,45.12,
818,43.0,54.0,44.82,
819,43.0,51.0,45.38,
820,43.0,50.0,44.58,
821,43.0,49.0,45.12,
822,43.0,49.0,44.92,
823,43.0,51.0,44.98,
824,43.0,49.0,44.76,
825,43.0,52.0,44.98,
826,43.0,51.0,44.48,
827,43.0,54.0,44.82,
828,43.0,51.0,45.02,
829,43.0,51.0,45.2,
830,43.0,50.0,44.44,
831,43.0,56.0,45.08,
832,43.0,52.0,44.9,
833,43.0,50.0,44.68,
834,43.0,55.0,45.22,
835,43.0,53.0,44.96,
836,43.0,49.0,44.64,
837,43.0,51.0,44.72,
838,43.0,53.0,44.76,
839,43.0,50.0,44.76,
840,43.0,53.0,45.18,
841,43.0,53.0,44.84,
842,43.0,51.0,44.9,
843,43.0,52.0,45.02,
844,43.0,51.0,44.8,
845,43.0,54.0,45.48,
846,43.0,51.0,44.74,
847,43.0,54.0,45.02,
848,43.0,52.0,45.38,
849,43.0,49.0,44.94,
850,43.0,55.0,45.58,
851,43.0,52.0,44.58,
852,43.0,50.0,45.04,
853,43.0,50.0,44.66,
854,43.0,54.0,45.38,
855,43.0,50.0,44.74,
856,43.0,55.0,45.7,
857,43.0,50.0,44.58,
858,43.0,51.0,45.44,
859,43.0,51.0,44.9,
860,43.0,53.0,45.42,
861,43.0,49.0,44.96,
862,43.0,49.0,45.3,
863,43.0,53.0,45.1,
864,43.0,49.0,44.86,
865,43.0,48.0,44.72,
866,43.0,50.0,44.98,
867,43.0,50.0,45.08,
868,43.0,50.0,44.98,
869,43.0,52.0,44.88,
870,43.0,52.0,45.58,
871,43.0,52.0,45.34,
872,43.0,52.0,45.16,
873,43.0,53.0,45.06,
874,43.0,50.0,45.18,
875,43.0,50.0,44.86,
876,43.0,49.0,44.82,
877,43.0,51.0,44.7,
878,43.0,52.0,45.04,
879,43.0,54.0,44.72,
880,43.0,51.0,44.9,
881,43.0,53.0,44.98,
882,43.0,57.0,45.02,
883,43.0,52.0,45.24,
884,43.0,50.0,44.7,
885,43.0,51.0,45.4,
886,43.0,50.0,44.64,
887,43.0,49.0,44.36,
888,43.0,52.0,45.28,
889,43.0,53.0,45.84,
890,43.0,51.0,44.98,
891,43.0,50.0,44.66,
892,43.0,50.0,44.84,
893,43.0,50.0,45.34,
894,43.0,53.0,45.02,
895,43.0,50.0,44.9,
896,43.0,51.0,45.44,
897,43.0,49.0,44.68,
898,43.0,51.0,45.22,
899,43.0,49.0,45.04,
900,43.0,52.0,45.18,
901,43.0,49.0,45.36,
902,43.0,56.0,45.12,
903,43.0,56.0,45.48,
904,43.0,55.0,45.48,
905,43.0,49.0,44.68,
906,43.0,54.0,45.54,
907,43.0,54.0,45.26,
908,43.0,50.0,45.3,
909,43.0,53.0,45.24,
910,43.0,53.0,45.34,
911,43.0,53.0,44.7,
912,43.0,50.0,45.46,
913,43.0,50.0,45.12,
914,43.0,52.0,44.98,
